Metric,Value
N Total,572.0
N Actives,74.0
N Decoys,498.0
Active Ratio,0.12937062937062938
ROC-AUC,0.8970476500596982
BEDROC (α=20),0.8500523284230551
BEDROC (α=80.5),0.9923728727769107
RIE (α=20),6.076465442603134
EF@1%,7.72972972972973
EF@5%,7.72972972972973
EF@10%,5.8311996206733046
Youden J,0.6571149462715727
Optimal Threshold,0.4231760144167865
Sensitivity,0.8378378378378378
Specificity,0.8192771084337349
Precision,0.40789473684210525
F1 Score,0.5486725663716814
MCC,0.49925846546036745
Balanced Accuracy,0.8285574731357863
